year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2017, 1 Series,15490,Manual,25763,Petrol,145,46.3,2.0,9117.414
2017, 1 Series,19761,Semi-Auto,39681,Petrol,200,39.8,3.0,11631.3246
2017, 1 Series,17500,Automatic,9020,Diesel,150,65.7,2.0,10300.5
2017, 1 Series,17160,Automatic,26213,Petrol,145,47.9,2.0,10100.376
2017, 1 Series,17490,Semi-Auto,10571,Diesel,30,65.7,2.0,10294.614
2017, 1 Series,13659,Manual,30641,Diesel,20,70.6,1.5,8039.6874
2017, 1 Series,16490,Manual,31000,Petrol,260,36.2,3.0,9706.014000000001
2019, 1 Series,24280,Manual,1947,Petrol,145,41.5,1.5,18581.484
2019, 1 Series,23499,Automatic,9112,Petrol,145,39.8,3.0,17983.7847
2017, 1 Series,11500,Manual,23574,Diesel,0,83.1,1.5,6768.900000000001
2019, 1 Series,21898,Semi-Auto,14720,Diesel,145,67.3,2.0,16758.539399999998
2017, 1 Series,19990,Automatic,27108,Petrol,145,39.8,3.0,11766.114
2015, 1 Series,12900,Automatic,33449,Diesel,20,68.9,1.5,5953.35
2017, 1 Series,13100,Manual,28850,Diesel,145,70.6,1.5,7710.66
2017, 1 Series,21490,Semi-Auto,25954,Petrol,150,39.8,3.0,12649.014000000001
2017, 1 Series,13980,Manual,38120,Diesel,30,65.7,2.0,8228.628
2017, 1 Series,15980,Manual,17000,Diesel,145,65.7,2.0,9405.828
2017, 1 Series,11950,Manual,53000,Diesel,20,72.4,1.5,7033.77
2017, 1 Series,19450,Automatic,45000,Petrol,150,39.8,3.0,11448.27
2019, 1 Series,29398,Semi-Auto,9983,Petrol,145,39.8,3.0,22498.289399999998
2017, 1 Series,21990,Automatic,18000,Petrol,205,39.8,3.0,12943.314
2017, 1 Series,20990,Semi-Auto,17774,Petrol,200,39.8,3.0,12354.714
2017, 1 Series,18480,Manual,39201,Petrol,150,36.2,3.0,10877.328
2019, 1 Series,19298,Semi-Auto,10040,Diesel,145,67.3,2.0,14768.759399999999
2017, 1 Series,20480,Semi-Auto,34218,Petrol,205,39.8,3.0,12054.528
2019, 1 Series,26991,Manual,3250,Petrol,145,41.5,1.5,20656.2123
2019, 1 Series,32000,Semi-Auto,4493,Petrol,145,34.5,2.0,24489.6
2015, 1 Series,7495,Manual,91000,Diesel,0,74.3,1.6,3458.9425
2017, 1 Series,14066,Semi-Auto,43260,Petrol,145,55.5,1.5,8279.2476
2017, 1 Series,13806,Manual,20038,Petrol,125,53.3,1.5,8126.2116000000005
2017, 1 Series,15595,Automatic,24693,Petrol,145,54.3,1.5,9179.217
2015, 1 Series,10998,Manual,42410,Diesel,30,65.7,2.0,5075.577
2017, 1 Series,15200,Manual,4000,Diesel,150,68.9,2.0,8946.72
2017, 1 Series,15490,Manual,32811,Diesel,150,65.7,2.0,9117.414
2019, 1 Series,18440,Semi-Auto,4512,Diesel,145,68.9,1.5,14112.132
2017, 1 Series,13990,Manual,34249,Petrol,150,53.3,1.5,8234.514000000001
2017, 1 Series,14925,Automatic,23786,Diesel,20,67.3,2.0,8784.855
2015, 1 Series,7990,Manual,62000,Petrol,125,50.4,1.6,3687.385
2015, 1 Series,9991,Automatic,94000,Diesel,30,62.8,2.0,4610.846500000001
2017, 1 Series,21490,Automatic,20000,Petrol,150,39.8,3.0,12649.014000000001
2019, 1 Series,15199,Manual,10374,Petrol,145,53.3,1.5,11631.7947
2015, 1 Series,8990,Manual,43000,Petrol,125,50.4,1.6,4148.885
2017, 1 Series,15980,Manual,22022,Petrol,145,47.1,2.0,9405.828
2017, 1 Series,12399,Manual,22449,Diesel,145,78.5,1.5,7298.0514
2019, 1 Series,18950,Semi-Auto,15028,Petrol,145,36.7,1.5,14502.435
2017, 1 Series,13995,Manual,22119,Diesel,150,68.9,2.0,8237.457
2015, 1 Series,11485,Manual,23460,Petrol,300,35.3,3.0,5300.3275
2019, 1 Series,18875,Semi-Auto,2406,Diesel,145,68.9,1.5,14445.0375
2019, 1 Series,29790,Semi-Auto,12,Petrol,145,39.8,3.0,22798.287
2017, 1 Series,19995,Manual,25645,Petrol,260,36.2,3.0,11769.057
2017, 1 Series,21689,Automatic,17988,Petrol,145,39.8,3.0,12766.1454
2017, 1 Series,14030,Semi-Auto,40344,Diesel,145,68.9,1.5,8258.058
2015, 1 Series,12999,Automatic,28571,Diesel,20,67.3,2.0,5999.038500000001
2017, 1 Series,17950,Semi-Auto,17988,Diesel,145,61.4,2.0,10565.37
2017, 1 Series,11799,Manual,10683,Petrol,30,56.5,1.5,6944.8914
2019, 1 Series,20732,Semi-Auto,965,Petrol,145,54.3,1.5,15866.1996
2017, 1 Series,12290,Manual,31268,Diesel,150,72.4,1.5,7233.894
2017, 1 Series,14995,Manual,16366,Diesel,150,65.7,2.0,8826.057
2017, 1 Series,20081,Semi-Auto,32000,Petrol,200,39.8,3.0,11819.6766
2017, 1 Series,14650,Manual,12616,Diesel,30,65.7,2.0,8622.99
2017, 1 Series,16790,Manual,15468,Petrol,145,46.3,2.0,9882.594000000001
2017, 1 Series,14127,Manual,43655,Diesel,20,68.9,2.0,8315.1522
2015, 1 Series,11999,Manual,36339,Diesel,30,62.8,2.0,5537.538500000001
2015, 1 Series,17999,Automatic,8064,Petrol,235,37.7,3.0,8306.5385
2019, 1 Series,29880,Semi-Auto,12,Petrol,145,39.8,3.0,22867.164
2019, 1 Series,21995,Manual,4869,Petrol,150,44.8,1.5,16832.7735
2019, 1 Series,18980,Manual,8328,Diesel,145,65.7,2.0,14525.394
2015, 1 Series,9681,Manual,40176,Petrol,145,50.4,1.6,4467.7815
2015, 1 Series,12300,Automatic,32694,Diesel,20,72.4,1.5,5676.45
2015, 1 Series,13391,Semi-Auto,49394,Diesel,30,64.2,2.0,6179.9465
2019, 1 Series,18480,Manual,10302,Diesel,145,70.6,1.5,14142.743999999999
2015, 1 Series,8290,Manual,35000,Petrol,125,51.4,1.6,3825.835
2019, 1 Series,20980,Manual,6215,Petrol,145,44.1,1.5,16055.993999999999
2019, 1 Series,19980,Semi-Auto,12166,Diesel,145,67.3,2.0,15290.694
2019, 1 Series,15980,Manual,4968,Petrol,145,53.3,1.5,12229.493999999999
2019, 1 Series,29490,Semi-Auto,3069,Petrol,150,34.5,2.0,22568.697
2015, 1 Series,9890,Automatic,58283,Diesel,30,64.2,2.0,4564.235000000001
2019, 1 Series,30000,Automatic,8501,Petrol,145,34.5,2.0,22959.0
